JANEIRO				Orçado			DESPESAS RATEADAS			Rateio anual			
Custo equipe - Contencioso	73576.315	0.34766400895296196		74354.065	0.3483970791723399		101895.64000000001	35425.446697227795		Custo equipe - Contencioso	881797.7342499999	0.36682228854863186	
Custo equipe - Econômico	76041.035	0.3593103442735953		76879.16500000002	0.36022881244231086			36612.15748837833		Custo equipe - Econômico	914114.7525000002	0.3802659640459564	
Custo equipe - Arbitragem e Compliance	62013.17	0.29302564677344267		62184.36000000001	0.2913741083853491			29858.03581439388		Custo equipe - Arbitragem e Compliance	607970.1610000001	0.25291174740541156	
Total das Áreas	211630.52000000002	1		213417.59000000005						Total das Áreas	2403882.6477500005	0.9999999999999999	
													
FEVEREIRO													
Custo equipe - Contencioso	76342.345	0.3495313681031428		72754.065	0.3485765861899804		90395.7	31596.13269164126					
Custo equipe - Econômico	80276.745	0.36754491241678683		75379.16500000002	0.3611538682484787			33224.47963935413					
Custo equipe - Arbitragem e Compliance	61794.340000000004	0.28292371948007045		60584.36000000001	0.2902695455615408			25575.087669004603					
Total das Áreas	218413.43	1		208717.59000000005									
